data,total,positivos,prevalencia
2015-10-07,158,17,0.10759493670886076
2015-10-08,177,25,0.14124293785310735
2015-10-09,216,32,0.14814814814814814
2015-10-10,142,14,0.09859154929577464
2015-10-11,207,27,0.13043478260869565
2015-10-12,225,33,0.14666666666666667
2015-10-13,205,22,0.1073170731707317
2015-10-14,214,24,0.11214953271028037
2015-10-15,208,23,0.11057692307692307
2015-10-16,183,25,0.1366120218579235
2015-10-17,149,11,0.0738255033557047
2015-10-18,218,22,0.10091743119266056
2015-10-19,181,25,0.13812154696132597
2015-10-20,196,17,0.08673469387755102
2015-10-21,205,34,0.16585365853658537
2015-10-22,220,21,0.09545454545454546
2015-10-23,202,28,0.13861386138613863
2015-10-24,161,7,0.043478260869565216
2015-10-25,234,12,0.05128205128205128
2015-10-26,224,31,0.13839285714285715
2015-10-27,211,21,0.0995260663507109
2015-10-28,213,30,0.14084507042253522
2015-10-29,228,32,0.14035087719298245
2015-10-30,167,17,0.10179640718562874
2015-10-31,156,13,0.08333333333333333
2015-11-01,200,10,0.05
2015-11-02,243,35,0.1440329218106996
2015-11-03,260,32,0.12307692307692308
2015-11-04,172,16,0.09302325581395349
2015-11-05,180,17,0.09444444444444444
2015-11-06,231,43,0.18614718614718614
2015-11-07,182,17,0.09340659340659341
2015-11-08,188,24,0.1276595744680851
2015-11-09,174,18,0.10344827586206896
2015-11-10,154,12,0.07792207792207792
2015-11-11,240,28,0.11666666666666667
2015-11-12,198,33,0.16666666666666666
2015-11-13,213,25,0.11737089201877934
2015-11-14,186,11,0.05913978494623656
2015-11-15,200,17,0.085
2015-11-16,205,30,0.14634146341463414
2015-11-17,197,19,0.09644670050761421
2015-11-18,204,26,0.12745098039215685
2015-11-19,232,32,0.13793103448275862
2015-11-20,190,17,0.08947368421052632
2015-11-21,124,5,0.04032258064516129
2015-11-22,204,20,0.09803921568627451
2015-11-23,179,25,0.13966480446927373
2015-11-24,217,30,0.1382488479262673
2015-11-25,221,33,0.1493212669683258
2015-11-26,230,34,0.14782608695652175
2015-11-27,201,38,0.1890547263681592
2015-11-28,180,16,0.08888888888888889
2015-11-29,200,12,0.06
2015-11-30,207,44,0.21256038647342995
2015-12-01,226,34,0.1504424778761062
2015-12-02,245,23,0.09387755102040816
2015-12-03,267,31,0.11610486891385768
2015-12-04,185,10,0.05405405405405406
2015-12-05,208,27,0.12980769230769232
2015-12-06,175,16,0.09142857142857143
2015-12-07,214,18,0.08411214953271028
2015-12-08,191,23,0.12041884816753927
2015-12-09,145,17,0.11724137931034483
2015-12-10,146,25,0.17123287671232876
2015-12-11,247,46,0.1862348178137652
